Rank,Word,PoS,Collins,knowTag,,Definition,Tag,3151
10750,preserve,n,3,,重复,vt. 保存；保护；维持；禁猎；腌,cet4 cet6 ky toefl ielts gk,
10751,dart,n,2,,重复,n. 镖；标枪；飞镖；猛冲,toefl ielts,
10752,remorse,n,1,,,n. 懊悔；同情,ielts,
10753,wring,v,1,,,vt. 绞；拧；紧握；使痛苦；折磨,cet6 toefl,
10754,yen,n,3,,,n. 日元（日本货币单位）；渴望,toefl ielts,
10755,margarine,n,1,,,n. 人造黄油；人造奶油,,
10756,lookout,n,1,,,n. 监视哨；警戒；监视；守望者；[口]担心的事,,
10757,pew,n,1,,,n. 座位；会众；教堂内的靠背长凳,,
10758,neural,j,1,,,adj. 神经的；神经中枢的；神经系统的；背的,,
10759,Austrian,j,,,重复,adj. 奥地利的；奥地利人的,,
10760,sewing,n,1,,,n. 缝纫；缝纫业,,
10761,junior,n,3,,重复,adj. 年少的；后进的；下级的,cet4 cet6 ky ielts gk,
10762,pedestal,n,1,,,n. 基架，基座；基础,,
10763,batting,n,,,,n. 打球；打击；棉絮,,
10764,tedious,j,1,,,adj. 冗长乏味的；沉闷的,cet4 cet6 ky toefl ielts,
10765,cot,n,1,,,n. 简易床；小屋；轻便小床,ielts,
10766,nostalgic,j,1,,,adj. 怀旧的；乡愁的,,
10767,dignified,j,1,,,adj. 有尊严的；高贵的；庄严的,toefl,
10768,relentlessly,r,,,,,,
10769,folded,j,,,,v. 折叠；交叉合拢；失败垮台；把牲畜关在栏中（fold的过去分词）,,
10770,scroll,n,1,,重复,n. 卷轴，画卷；名册；卷形物,toefl ielts,
10771,scripture,n,1,,,n. 手稿；（大写）圣经；（大写）圣经的一句,cet6 toefl,
10772,makeover,v,,,,n. 化妆美容；大转变,,
10773,humanities,n,,,,n. 人文学科（humanity的复数 ）,,
10774,omission,n,1,,,n. 省略；疏忽，遗漏；冗长,,
10775,turbulence,n,,,,n. 骚乱，动荡；狂暴；湍流,toefl,
10776,reptile,n,1,,,adj. 爬虫类的；卑鄙的,cet6 ky toefl ielts,
10777,emeritus,j,,,,,,
10778,collective,n,3,,重复,adj. 集体的；集体主义的；共同的；[语]集合的,cet4 cet6 ky toefl,
10779,confound,v,1,,,vt. 挫败；使混淆；讨厌；使混乱,toefl,
10780,parody,n,1,,重复,n. 拙劣的模仿；诙谐的改编诗文,ielts,
10781,nation-state,n,,,,,,
10782,alternatively,r,2,,,adv. 非此即彼；二者择一地；作为一种选择,,
10783,holding,j,2,,重复,n. 支持；举办,,
10784,mathematician,n,1,,,,,
10785,rebate,n,1,,,vt. 减少；打折扣,toefl,
10786,parade,v,2,,重复,n. 游行；阅兵；行进；炫耀；阅兵场,cet4 cet6 ky toefl ielts,
10787,Ethiopian,j,,,,adj. 埃塞俄比亚的；黑人的,,
10788,fleeting,j,1,,,adj. 飞逝的；转瞬间的,toefl ielts,
10789,annoyance,n,1,,,n. 烦恼；可厌之事；打扰,,
10790,diarrhea,n,,,,n. 腹泻，痢疾,,
10791,paranoia,n,1,,,n. [心]偏执狂，妄想狂,ielts,
10792,cadre,n,1,,,n. 干部；基础结构；骨骼,,
10793,abdominal,j,,,,adj. [动]有腹鳍的；[解]腹部的,,
10794,differentiation,n,,,,n. 区别；变异，分化,,
10795,insecure,j,2,,,adj. 不安全的；不稳定的；不牢靠的,,
10796,biographer,n,1,,,n. 传记作者,toefl,
10797,surplus,j,3,,重复,n. 过剩；盈余；剩余；顺差,cet4 cet6 ky toefl ielts gk,
10798,relocation,n,,,,n. 再布置，变换布置；重新安置,,
10799,halfway,j,2,,重复,adv. 在中途；到一半,,
10800,modern-day,j,1,,,,,
10801,spew,v,1,,,vt. 呕吐；喷出,toefl,
10802,born,j,4,,重复,v. 出世（bear的过去分词）,cet4 ky zk gk,
10803,majestic,j,1,,,adj. 宏伟的；庄严的,toefl ielts,
10804,cleanse,v,2,,,vt. 净化；使…纯净；使…清洁,toefl,
10805,surreal,j,1,,,adj. 超现实主义的；离奇的；不真实的,,
10806,identifiable,j,1,,,adj. 可辨认的；可认明的；可证明是同一的,toefl,
10807,blue-collar,j,,,,,,
10808,adopted,j,,,,adj. 被收养的；被采用的,,
10809,individualism,n,,,,n. 个人主义；个人特征；利己主义,toefl,
10810,amnesty,n,2,,,n. 大赦，特赦,toefl,
10811,disgusted,j,1,,,adj. 厌恶的；厌烦的,toefl,
10812,delineate,v,,,,vt. 描绘；描写；画…的轮廓,toefl,
10813,commend,v,1,,,vt. 推荐；称赞；把…委托,cet6 ky toefl ielts,
10814,rink,n,1,,,n. 冰球场；溜冰场，室内溜冰场,,
10815,confiscate,v,1,,,vt. 没收；充公；查抄,toefl,
10816,neuron,n,1,,,n. [解]神经元，神经单位,cet6 toefl,
10817,rafter,n,1,,,n. 椽；筏夫（等于raftsman）,,
10818,compact,n,2,,重复,n. 合同，契约；小粉盒,cet6 ky toefl ielts,
10819,paradoxically,r,,,,adv. 似非而是地；自相矛盾地；反常地,cet6,
10820,deli,n,,,,n. 熟食店；熟食品（等于delicatessen）,,
10821,resilience,n,,,,n. 弹力；恢复力；顺应力,ielts,
10822,encircle,v,1,,,vt. 环绕；围绕；包围,,
10823,eclipse,v,1,,重复,vt. 形成蚀；使黯然失色,cet6 ky toefl ielts,
10824,generously,r,,,,adv. 宽大地；慷慨地；丰盛地,,
10825,hydraulic,j,1,,,adj. 水力的；液压的；水力学的,cet6,
10826,coroner,n,1,,,n. 验尸官,,
10827,finger,v,4,,重复,n. 手指；指针，指状物,cet4 cet6 ky zk gk,
10828,measured,j,,,,adj. 慎重的；量过的；基于标准的；有规则的,,
10829,boldly,r,,,,adv. 大胆地；冒失地；显眼地,,
10830,lotion,n,1,,,n. 洗液；洗涤剂,,
10831,delicately,r,,,,adv. 优美地；微妙地；精致地,,
10832,impediment,n,1,,,n. 妨碍；阻止；口吃,toefl,
10833,burglary,n,1,,,n. 盗窃，夜盗；盗窃行为,,
10834,dynasty,n,1,,,n. 王朝，朝代,ky gk,
10835,rediscover,v,1,,,vt. 重新发现；再发现,,
10836,watery,j,1,,,adj. 水的；淡的；湿的；松软的；有雨意的,cet6,
10837,disco,n,2,,,n. 的士高；迪斯科舞厅,ielts,
10838,downsize,v,,,,vt. 以较小尺寸设计；缩小尺寸；裁减人数,,
10839,heap,v,2,,重复,n. 累积；堆；许多,cet4 cet6 ky ielts gk,
10840,buttocks,n,,,,n. 臀部；纵剖线（buttock的复数）,,
10841,forcefully,r,,,,adv. 激烈地；强有力地；有说服力地,,
10842,bewildered,j,1,,,,,
10843,resurrect,v,1,,,vt. 使复活；复兴；挖出,,
10844,following,n,4,,重复,adj. 其次的，接着的；下面的,cet4 cet6 ky gk,
10845,thee,p,,,,pron. [古]你（古英语thou的宾格）,,
10846,electromagnetic,j,1,,,adj. [电]电磁的,toefl,
10847,foreclosure,n,,,,n. 丧失抵押品赎回权,,
10848,iron,v,3,,重复,n. 熨斗；坚强；烙铁,cet4 cet6 ky zk gk,
10849,preferable,j,2,,,adj. 更好的，更可取的；更合意的,cet4 cet6 ky toefl,
10850,backfire,v,1,,,vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果,,
10851,anti-semitism,n,1,,,,,
10852,individuality,n,1,,,n. 个性；个人；个人特征；个人的嗜好（通常复数）,,
10853,captivity,n,1,,,n. 囚禁；被关,toefl,
10854,defeated,j,,,,,,
10855,flourish,n,2,,重复,n. 兴旺；茂盛；挥舞；炫耀；华饰,cet4 cet6 ky toefl ielts,
10856,reassurance,n,1,,,n. 使安心，再保证,ky,
10857,downright,r,1,,,adj. 明白的；直率的；显明的,,
10858,derail,v,1,,,,,
10859,steward,n,2,,,n. 乘务员；膳务员；管家；工会管事,cet4 cet6 ky ielts gk,
10860,revitalize,v,1,,,vt. 使…复活；使…复兴；使…恢复生气,,
10861,bumper,n,1,,重复,adj. 丰盛的，丰富的,ielts,
10862,remake,v,1,,重复,,,
10863,manageable,j,,,,adj. 易控制的；易办的；易管理的,,
10864,reciprocal,j,1,,,adj. 相互的；互惠的；倒数的，彼此相反的,cet6 ky toefl ielts,
10865,tentatively,r,,,,,,
10866,kayak,n,,,重复,n. 皮船；爱斯基摩小艇,,
10867,cover-up,n,1,,,,,
10868,storefront,n,,,,,,
10869,guise,n,1,,,n. 伪装；装束；外观,toefl,
10870,pastel,j,1,,重复,adj. 柔和的；彩色蜡笔的，粉蜡笔的,toefl,
10871,viral,j,1,,,adj. 滤过性毒菌引起的；滤过性毒菌的,toefl,
10872,bipolar,j,,,,adj. 有两极的，双极的,,
10873,anxiously,r,,,,adv. 不安地，忧虑地,,
10874,brake,v,2,,重复,vi. 刹车,cet4 ky ielts gk,
10875,menopause,n,1,,,n. 更年期；活动终止期,,
10876,patch,v,2,,重复,n. 眼罩；斑点；碎片；小块土地,cet4 cet6 ky toefl ielts,
10877,electrode,n,1,,,n. 电极；电焊条,cet6,
10878,sparkle,n,2,,重复,n. 活力；火花；闪耀,cet4 cet6 ky ielts,
10879,stylistic,j,1,,,adj. 体裁上的；格式上的；文体论的,,
10880,disciplined,j,1,,,adj. 遵守纪律的；受过训练的,toefl,
10881,ornate,j,1,,,adj. 华丽的；装饰的；（文体）绚丽的,,
10882,slap,n,2,,重复,vt. 掌击；拍击；掴…的耳光；侮辱,cet6 ky toefl ielts,
10883,refinement,n,1,,,n. 精制；提纯；文雅,toefl,
10884,neurological,j,,,,adj. 神经病学的，神经学上的,,
10885,outpatient,n,1,,,n. 门诊病人,,
10886,awkwardly,r,,,,adv. 笨拙地；无技巧地,toefl,
10887,edible,j,1,,,adj. 可食用的,cet6 ky toefl ielts,
10888,thrilling,j,1,,,adj. 毛骨悚然的；令人兴奋的；颤动的,,
10889,neutralize,v,1,,,vt. 抵销；使…中和；使…无效；使…中立,toefl ielts,
10890,chute,n,,,,n. 斜槽；瀑布；降落伞；陡坡道,,
10891,focused,j,,,,adj. 聚焦的；专心的,,
10892,skyscraper,n,1,,,n. 摩天楼，超高层大楼；特别高的东西,cet6 ky toefl gk,
10893,thunderstorm,n,1,,,n. 雷暴雨；大雷雨；雷暴,toefl gk,
10894,booklet,n,2,,,n. 小册子,ielts,
10895,inexperienced,j,,,,adj. 不熟练的；无经验的,,
10896,funky,j,1,,,adj. 畏缩的；时髦的；[俚]恶臭的,,
10897,hum,n,2,,重复,vi. 发低哼声,cet6 ky ielts,
10898,schoolteacher,n,1,,,,,
10899,pronouncement,n,1,,,n. 声明；宣告；公告；判决,,
10900,miss,n,4,,重复,vt. 漏掉；错过；想念,zk gk,
10901,Yugoslav,j,,,,adj. 南斯拉夫的；南斯拉夫人的,,
10902,theorize,v,1,,,vi. 建立理论或学说；推理,,
10903,erratic,j,1,,,adj. 不稳定的；古怪的,toefl ielts,
10904,stronghold,n,1,,,n. 要塞；大本营；中心地,,
10905,expend,v,1,,,vt. 花费；用光；消耗；耗尽,cet4 ky ielts,
10906,resilient,j,1,,,adj. 弹回的，有弹力的,,
10907,special,n,5,,重复,n. 专车；特刊；特价商品；特色菜；特使，特派人员,cet4 cet6 ky ielts zk gk,
10908,Mormon,j,1,,重复,n. 摩门教徒；一夫多妻主义者,,
10909,dispel,v,1,,,vt. 驱散，驱逐；消除（烦恼等）,ielts,
10910,hilarious,j,1,,,adj. 欢闹的；非常滑稽的；喜不自禁的,toefl ielts,
10911,eggplant,n,,,,n. 茄子,gk,
10912,mother-in-law,n,1,,,,,
10913,redesign,v,1,,重复,vt. 重新设计,,
10914,airy,j,1,,,adj. 通风的；空气的；空中的；幻想的；轻快的,,
10915,revere,v,1,,,vt. 尊敬；崇敬；敬畏,toefl,
10916,small-town,j,,,,,,
10917,wiggle,v,1,,重复,vi. 使……摆动，使……扭动,,
10918,taunt,v,1,,重复,n. 嘲弄；讥讽,toefl,
10919,syringe,n,1,,,vt. 注射，冲洗,,
10920,renounce,v,1,,,vt. 宣布放弃；与…断绝关系；垫牌,toefl,
10921,frown,n,2,,重复,vi. 皱眉；不同意,cet4 cet6 ky toefl ielts,
10922,handshake,n,1,,,n. 握手,,
10923,envelop,v,1,,,vt. 包围；包封；遮盖,toefl,
10924,pointer,n,1,,,n. 指针；暗示；指示器；教鞭,,
10925,emigrate,v,2,,,vi. 移居；移居外国,cet6 ky toefl ielts,
10926,distrust,n,1,,重复,vt. 不信任,,
10927,Shiite,n,,,重复,n. 什叶派教徒,,
10928,arch,v,2,,重复,n. 拱门；弓形，拱形,cet6 ky toefl ielts gk,
10929,squeeze,n,3,,重复,vt. 挤；勒索；紧握,cet4 cet6 ky toefl ielts gk,
10930,bundle,v,2,,重复,n. 捆；束,cet4 cet6 ky toefl ielts,
10931,cardboard,n,1,,重复,n. 硬纸板；卡纸板；纸板箱,,
10932,bribe,n,2,,重复,vt. 贿赂，收买,cet6 ky ielts,
10933,overstate,v,1,,,vt. 夸张；夸大的叙述,,
10934,investing,j,,,,n. 熔模铸造,,
10935,swath,n,,,,,,
10936,whichever,d,1,,,pron. 无论哪个；任何一个,cet4 cet6 ky gk,
10937,disapprove,v,1,,,vt. 不赞成；不同意,cet4,
10938,kindly,r,2,,重复,adv. 亲切地；温和地；仁慈地,,
10939,tan,n,2,,重复,vt. 晒成褐色；鞣（革）,cet4 cet6 ky toefl,
10940,yawn,v,1,,重复,n. 哈欠；裂口,cet4 cet6 ky toefl ielts gk,
10941,lore,n,1,,,n. 知识；学问；全部传说；（动物的）眼光知识,toefl,
10942,herd,v,2,,重复,n. 兽群，畜群；放牧人,cet4 cet6 ky toefl ielts,
10943,gray,n,,,重复,adj. 灰色的；灰白头发的；苍白的；阴郁的,cet4 cet6,
10944,gag,n,1,,重复,vt. 塞住…的口；钳制…的言论；使窒息,toefl,
10945,hearth,n,1,,,n. 炉床；炉边；灶台；壁炉地面,cet6,
10946,emphatically,r,1,,,adv. 强调地；着重地；断然地,,
10947,closeness,n,,,,n. 密闭；接近；严密；亲密,,
10948,gal,n,1,,,n. 加仑（重力加速度单位）；[口]姑娘,,
10949,obstruct,v,1,,,vt. 阻塞；遮断；妨碍,ky toefl ielts,
10950,simplistic,j,1,,,adj. 过分单纯化的；过分简单化的,,
10951,improbable,j,1,,,adj. 不可信的；未必会发生的；不大可能的，未必确实的,toefl,
10952,cringe,v,1,,,vi. 奉承；畏缩；阿谀,,
10953,climax,n,2,,重复,n. 高潮；顶点；层进法；极点,cet6 ky toefl ielts,
10954,trudge,v,1,,,vi. 跋涉；步履艰难地走,toefl,
10955,czar,n,,,,n. （帝俄的）沙皇，皇帝；独裁者,,
10956,breeder,n,,,,n. 饲养员；起因；[核]增殖反应堆；繁殖者,,
10957,smuggler,n,,,,n. 走私船；走私者；走私犯,,
10958,roadway,n,,,,n. 路面；道路；车行道；铁路的路基,,
10959,memorabilia,n,1,,,,,
10960,faucet,n,,,,n. 旋塞；插口,toefl,
10961,unearth,v,1,,,vt. 从洞中赶出；发掘；揭露，发现,toefl,
10962,plunge,n,3,,重复,n. 投入；跳进,cet4 cet6 ky toefl ielts,
10963,worthy,n,2,,重复,adj. 有价值的；值得的；可尊敬的；应…的；配得上的，相称的,cet4 cet6 ky toefl gk,
10964,proclamation,n,1,,,n. 公布；宣布；宣告；公告,,
10965,caliber,n,,,,n. 口径；才干；器量；水准（等于calibre）,toefl,
10966,victimize,v,3,,,vt. 使牺牲；使受害；欺骗,,
10967,confinement,n,1,,,n. 限制；监禁；分娩,toefl,
10968,shard,n,,,,n. （甲虫的）鞘翅；陶瓷碎片,,
10969,sharing,n,,,,n. 公用，共享,,
10970,glean,v,1,,,vt. 收集（资料）；拾（落穗）,toefl,
10971,updated,j,,,,adj. 更新的；现代化的,,
10972,humid,j,1,,,adj. 潮湿的；湿润的；多湿气的,cet4 cet6 ky toefl,
10973,varsity,n,,,,n. 大学运动代表队；大学,,
10974,contributing,j,,,,adj. 起作用的；贡献的,,
10975,humiliating,j,,,,adj. 丢脸的；羞辱性的,,
10976,choral,j,1,,,adj. 合唱队的；合唱的,,
10977,testament,n,1,,,n. 遗嘱；圣约；确实的证明,,
10978,anthropological,j,,,,,,
10979,induction,n,1,,,n. 感应；归纳法；感应现象,cet6,
10980,ambivalent,j,1,,,adj. 好恶相克的；矛盾的,toefl,
10981,wrapper,n,,,,n. 包装材料；包装纸；书皮,,
10982,worldly,j,1,,,adj. 世间的；世俗的；尘世的,toefl,
10983,swarm,n,1,,重复,vi. 挤满；成群浮游；云集,cet4 cet6 ky toefl ielts,
10984,fillet,n,1,,,n. 头带；鱼片；[建]平边；饰线,,
10985,unreliable,j,1,,,adj. 不可靠的；靠不住的,cet6 ielts,
10986,life-threatening,j,1,,,,,
10987,feeding,j,,,重复,n. 饲养；输送；吃,,
10988,tutoring,j,,,,,,
10989,dwindle,v,1,,,vi. 减少；变小,toefl ielts,
10990,stash,v,1,,重复,n. 藏匿处；藏匿物,toefl,
10991,extra,n,4,,重复,adv. 特别地，非常；另外,cet4 cet6 ky ielts gk,
10992,shortstop,n,,,,n. [棒球]游击手；速显液,,
10993,rejoice,v,1,,,vi. 高兴；庆祝,cet4 cet6 ky ielts,
10994,unequal,j,1,,,adj. 不平等的；不规则的；不胜任的,,
10995,suggestive,j,1,,,adj. 暗示的；提示的；影射的,,
10996,arid,j,1,,,adj. 干旱的；不毛的，荒芜的,toefl,
10997,down,v,2,,重复,adv. 向下，下去；在下面,toefl zk gk,
10998,attributable,j,1,,,adj. 可归于…的；可归属的,,
10999,doorstep,n,1,,,n. 门阶,,
11000,ill,n,4,,重复,adj. 坏的；生病的；邪恶的；不吉利的,zk gk,
11001,biased,j,1,,,adj. 有偏见的；结果偏倚的，有偏的,cet6,
11002,centimeter,n,,,,n. 厘米；公分,,
11003,fundamental,n,3,,重复,adj. 基本的，根本的,cet4 cet6 ky toefl ielts gk,
11004,Ukrainian,j,,,,adj. 乌克兰的；乌克兰人的,,
11005,flyer,n,1,,,n. 飞鸟；飞行物；飞跳；传单；[美俚]孤注一掷,,
11006,caring,n,3,,重复,adj. 有同情心的；表示或感到关怀或关心的,,
11007,dialect,n,1,,,n. 方言，土话；同源语；行话；个人用语特征,cet4 cet6 ky toefl ielts,
11008,Peruvian,j,,,,adj. 秘鲁人的；秘鲁的,,
11009,bungalow,n,1,,,n. 平房；小屋,ielts gk,
11010,evergreen,j,1,,重复,n. [植]常绿树；[植]常绿植物,toefl,
11011,positioning,n,,,,n. 定位；配置，布置,,
11012,founding,n,,,重复,adj. 创办的；发起的,gk,
11013,distance,v,4,,重复,n. 距离；远方；疏远；间隔,cet4 cet6 ky toefl ielts gk,
11014,welcoming,j,,,,,,
11015,unspoken,j,1,,,adj. 未说出口的；无言的；不言而喻的,,
11016,paddle,n,1,,重复,n. 划桨；明轮翼,ky toefl ielts gk,
11017,recruiter,n,,,,n. 招聘人员，征兵人员,,
11018,substitution,n,,,,n. 代替；置换；代替物,,
11019,inconvenience,n,1,,,n. 麻烦；不便,,
11020,kettle,n,1,,,n. 壶；罐；鼓；釜,cet4 cet6 ky toefl gk,
11021,misdemeanor,n,,,,n. 轻罪；品行不端,,
11022,patriarch,n,1,,,n. 族长；家长；元老；创始人,toefl,
11023,saucer,n,1,,,n. 茶托，浅碟；浅碟形物；[口]眼睛,cet4 cet6 ky toefl gk,
11024,recurrence,n,1,,,n. 循环；再发生；重现；重新提起,cet6 ky,
11025,gamble,n,3,,重复,vi. 赌博；投机；打赌；孤注一掷,cet6 ky ielts,
11026,sleeper,n,1,,,n. 枕木；卧铺；睡眠者；卧车,,
11027,generalize,v,1,,,vt. 概括；推广；使...一般化,cet6 ky toefl ielts,
11028,transient,j,1,,,adj. 短暂的；路过的,cet6 ky toefl,
11029,caricature,n,1,,,n. 漫画；讽刺画；漫画手法,toefl,
11030,foothill,n,,,,,,
11031,loot,v,2,,重复,n. 掠夺品；战利品；抢劫,toefl,
11032,adoptive,j,,,,adj. 有收养关系的；采用的,,
11033,legalize,v,1,,,vt. 使合法化；公认；法律上认为…正当,toefl,
11034,nest,v,2,,重复,n. 巢，窝；安乐窝；温床,cet4 cet6 ky gk,
11035,attire,n,,,,n. 服装；盛装,toefl,
11036,info,n,1,,,n. 情报；信息,,
11037,racing,j,3,,重复,n. 竞赛；赛马,,
11038,derivative,n,1,,重复,n. 衍生物，派生物,toefl,
11039,macho,j,1,,,adj. 大男子气概的,,
11040,colonialism,n,1,,,n. 殖民主义；殖民政策,,
11041,frontal,j,1,,,adj. 正面的，前面的；额的,,
11042,strained,j,1,,,adj. 紧张的；勉强的；牵强附会的；滤过的,,
11043,viability,n,,,,n. 生存能力，发育能力；可行性,toefl,
11044,mare,n,2,,,n. 母马；母驴；月球表面阴暗部,,
11045,synonymous,j,1,,,adj. 同义的；同义词的；同义突变的,toefl,
11046,clothe,v,,,,vt. 给…穿衣；覆盖；赋予,cet4 ky,
11047,abstinence,n,1,,,n. 节制；节欲；戒酒；禁食,toefl,
11048,twirl,v,1,,,vt. 使快速转动，使快速旋转；捻弄,,
11049,picket,n,1,,,n. 警戒哨；纠察队；尖木桩,,
11050,backcountry,n,,,,,,
11051,propulsion,n,1,,,n. 推进力；推进,cet6 toefl ielts,
11052,sub,n,2,,,n. 潜水艇；地铁；替补队员,,
11053,spreading,j,,,重复,v. 摊开；传播（spread的ing形式）,,
11054,second-hand,j,1,,,adj. 旧的，二手的,cet6 ielts,
11055,blatant,j,1,,,adj. 炫耀的；喧嚣的；俗丽的；公然的,,
11056,moderate,n,3,,重复,adj. 适度的，中等的；有节制的；稳健的，温和的,cet4 cet6 ky toefl ielts,
11057,overboard,r,1,,,adv. 自船上落下；向船外,,
11058,informative,j,1,,,adj. 情报的；见闻广博的；教育性的，有益的,toefl ielts,
11059,funnel,n,1,,重复,n. 漏斗；烟囱,toefl ielts,
11060,Emmy,n,,,,n. 艾美奖（美国电视最高荣誉奖）,,
11061,stated,j,,,,adj. 定期的；规定的；阐明的,,
11062,combatant,n,1,,,n. 战士；争斗者,,
11063,routine,j,3,,重复,n. 例行公事；日常工作；程序,cet4 cet6 ky toefl ielts gk,
11064,distorted,j,,,,adj. 歪曲的；受到曲解的,,
11065,fanatic,n,1,,,n. 狂热入迷者；盲信者；盲信,toefl ielts,
11066,outfielder,n,,,,,,
11067,familial,j,,,,adj. 家庭的；家族的；遗传的,,
11068,hopelessly,r,,,,,,
11069,nominal,j,2,,,adj. 名义上的；有名无实的；票面上的,cet6 ky ielts,
11070,frivolous,j,1,,,adj. 轻佻的；琐碎的；无聊的,,
11071,recapture,v,1,,,vt. 夺回；拿回；再体验；政府征收再经历,,
11072,porn,n,1,,,n. 色情描写，色情文学；黄色书刊，色情照片（等于pornography）,,
11073,remembrance,n,1,,,n. 回想，回忆；纪念品；记忆力,,
11074,upstate,j,,,,,,
11075,going,n,5,,重复,n. 离去；工作情况；行为；地面状况,,
11076,attainment,n,1,,,n. 达到；成就；学识,toefl,
11077,repercussion,n,1,,,n. 反响；弹回；反射；[医]浮动诊胎法,,
11078,exceedingly,r,1,,,adv. 非常；极其；极端；极度地,cet4 cet6 ky ielts,
11079,mussels,n,,,,n. 淡菜；贻贝（mussel的复数）；双壳类,,
11080,wrinkled,j,,,,adj. 具皱的，有皱纹的,,
11081,detachment,n,1,,,n. 分遣；分遣队；分离，拆开；超然,,
11082,tame,v,1,,重复,adj. 驯服的；乏味的；顺从的；平淡的,cet4 cet6 ky toefl ielts,
11083,rendering,n,,,,n. 翻译；表现；描写；表演；打底；（建筑物等）透视图,toefl,
11084,thirst,n,1,,,n. 口渴；渴望；热望,cet4 cet6 ky ielts gk,
11085,mindful,j,1,,,adj. 留心的；记住的；警觉的,,
11086,ancestry,n,1,,,n. 祖先；血统,toefl,
11087,pictorial,j,1,,,adj. 绘画的；形象化的,,
11088,bison,n,,,,n. 北美野牛；欧洲野牛,toefl,
11089,genus,n,,,,n. 类，种；属,toefl,
11090,flashy,j,1,,,adj. 闪光的；瞬间的；俗丽的；暴躁的,toefl,
11091,pilot,v,3,,重复,n. 领航员；飞行员,cet4 cet6 ky toefl ielts zk gk,
11092,cohesion,n,1,,,n. 内聚力；结合；凝聚,toefl,
11093,debacle,n,1,,,n. 崩溃；灾害；解冻,,
11094,hygiene,n,1,,,n. 卫生学；卫生；保健法,toefl ielts,
11095,provisional,j,2,,,adj. 临时的，暂时的；暂定的,ielts,
11096,vial,n,,,,n. 小瓶；药水瓶,,
11097,funded,j,,,,,,
11098,centennial,j,1,,,adj. 一百年的,toefl,
11099,accelerated,j,,,,adj. 加速的；加快的,toefl,
11100,twentieth-century,j,,,,,,
11101,at-risk,j,,,,,,
11102,original,n,4,,重复,n. 原物；原作；原型；原件,cet4 cet6 ky toefl ielts,
11103,deport,v,2,,,vt. 举止；放逐；驱逐出境,toefl,
11104,dweller,n,1,,,n. 居民，居住者,toefl,
11105,ardent,j,1,,,adj. 热情的；热心的；激烈的；燃烧般的,toefl ielts,
11106,relive,v,1,,,vt. 再体验,,
11107,amen,u,,,,int. （表示衷心赞成）阿门；（祈祷时的结尾语）阿门,,
11108,nice,r,4,,重复,adj. 精密的；美好的；细微的；和蔼的,zk gk,
11109,oversized,j,,,,adj. 过大的，极大的,,
11110,decoy,n,1,,,n. 诱骗；诱饵,,
11111,righteous,j,1,,,adj. 正义的；公正的；正直的,ielts,
11112,narration,n,,,,n. 叙述，讲述；故事,cet6 toefl,
11113,blare,v,1,,,n. 嘟嘟声；号声；巨响,,
11114,gobble,v,1,,,vi. 贪食；咯咯叫,,
11115,regular,n,4,,重复,adj. 整齐的；定期的；有规律的；合格的,cet4 cet6 ky toefl ielts gk,
11116,jolt,n,1,,重复,vt. 使颠簸；使摇动；使震惊,toefl ielts,
11117,mend,v,1,,,vt. 修理，修补；改善；修改,toefl zk gk,
11118,subpoena,n,1,,重复,vt. 传唤，传审；传讯,,
11119,teller,n,1,,,n. 讲述者；讲故事者；计票员；（美）出纳员,,
11120,naturalist,n,1,,,n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人,toefl,
11121,detrimental,j,1,,,adj. 有害的；不利的,toefl ielts,
11122,spiritually,r,,,,adv. 在精神上地,,
11123,demolition,n,,,,n. 破坏；毁坏；拆除（等于demolishment）,toefl,
11124,internalize,v,,,,vt. 使（习俗等经吸收同化而）内在化；使藏在心底,,
11125,noted,j,3,,,adj. 著名的；显著的；[音]附有乐谱的,cet6 toefl,
11126,metaphysical,j,1,,,adj. 形而上学的；超自然的；玄学派诗歌的,,
11127,unprepared,j,1,,,,,
11128,appalling,j,1,,,adj. 令人震惊的；可怕的,,
11129,valuation,n,1,,,n. 计算；评价，估价,ielts,
11130,reorganize,v,2,,,vt. 改组；整理；重新制定,,
11131,leafy,j,1,,,adj. 多叶的；叶状的；叶茂盛的,,
11132,tweak,v,,,,,,
11133,cheerfully,r,,,,adv. 高高兴兴地,,
11134,murmur,n,2,,重复,n. 低语；低语声；低声抱怨；潺潺声,cet6 ky ielts,
11135,ponytail,n,,,,n. 马尾辫,,
11136,boiler,n,1,,,n. 锅炉；盛热水器；烧水壶，热水器,cet6,
11137,powerfully,r,,,,adv. 强大地；强烈地；非常,,
11138,learned,j,1,,,adj. 博学的；有学问的；学术上的,cet4 cet6 ky gk,
11139,proprietor,n,1,,,n. 业主；所有者；经营者,toefl,
11140,exaggeration,n,,,,n. 夸张；夸大之词；夸张的手法,toefl,
11141,ailing,j,1,,,adj. 生病的，身体不舒服的；体衰的,,
11142,wrong,n,4,,重复,adv. 错误地；邪恶的，不正当地,zk gk,
11143,unjust,j,1,,,adj. 不公平的，不公正的；非正义的,cet4 cet6,
11144,accentuate,v,1,,,vt. 强调；重读,toefl,
11145,strife,n,1,,,n. 冲突；争吵；不和,cet6 ky toefl,
11146,devout,j,1,,,adj. 虔诚的；衷心的,toefl,
